Date, Time, Temperature, Humidity, Signal for fan
[dd/mm/yy],[hh:mm:ss],[°C],[%], [-]
02/05/17, 12:47:50, 55, 18, 1
02/05/17, 12:48:22, 55, 18, 1
02/05/17, 12:48:52, 55, 18, 1
02/05/17, 12:49:30, 55, 18, 1
02/05/17, 12:50:01, 55, 18, 1
02/05/17, 12:50:35, 55, 18, 1
02/05/17, 12:51:08, 55, 18, 1
02/05/17, 12:51:38, 55, 18, 1
02/05/17, 12:52:09, 55, 18, 1
02/05/17, 12:52:40, 55, 18, 1
02/05/17, 12:53:10, 55, 18, 1
02/05/17, 12:53:47, 55, 18, 1
02/05/17, 12:54:19, 55, 18, 1
02/05/17, 12:54:51, 55, 18, 1
02/05/17, 12:55:23, 55, 18, 1
02/05/17, 12:55:54, 55, 18, 1
02/05/17, 12:56:31, 55, 18, 1
02/05/17, 12:57:01, 55, 18, 1
02/05/17, 12:57:32, 55, 18, 1
02/05/17, 12:58:03, 55, 18, 1
02/05/17, 12:58:33, 55, 17, 1
02/05/17, 12:59:03, 55, 18, 1
02/05/17, 12:59:34, 55, 18, 1
02/05/17, 13:00:05, 55, 18, 1
02/05/17, 13:00:37, 55, 18, 1
02/05/17, 13:01:07, 55, 18, 1
02/05/17, 13:01:39, 55, 18, 1
02/05/17, 13:02:14, 55, 18, 1
02/05/17, 13:02:46, 55, 18, 1
02/05/17, 13:03:16, 55, 18, 1
02/05/17, 13:03:47, 55, 18, 1
02/05/17, 13:04:17, 55, 18, 1
02/05/17, 13:04:50, 55, 18, 1
02/05/17, 13:05:20, 55, 18, 1
02/05/17, 13:05:50, 55, 17, 1
02/05/17, 13:06:20, 55, 18, 1
02/05/17, 13:06:50, 55, 17, 1
02/05/17, 13:07:20, 55, 18, 1
02/05/17, 13:08:01, 55, 18, 1
02/05/17, 13:08:31, 55, 18, 1
02/05/17, 13:09:04, 55, 18, 1
02/05/17, 13:09:35, 55, 18, 1
02/05/17, 13:10:05, 55, 18, 1
02/05/17, 13:10:38, 55, 18, 1
02/05/17, 13:11:17, 55, 18, 1
02/05/17, 13:11:52, 55, 18, 1
02/05/17, 13:12:23, 55, 17, 1
02/05/17, 13:12:55, 55, 18, 1
02/05/17, 13:13:27, 55, 18, 1
02/05/17, 13:13:58, 55, 18, 1
02/05/17, 13:14:28, 55, 18, 1
02/05/17, 13:15:01, 55, 18, 1
02/05/17, 13:15:31, 55, 18, 1
02/05/17, 13:16:01, 55, 18, 1
02/05/17, 13:16:31, 55, 17, 1
02/05/17, 13:17:02, 55, 18, 1
02/05/17, 13:17:44, 55, 18, 1
02/05/17, 13:18:15, 55, 18, 1
02/05/17, 13:18:48, 55, 18, 1
02/05/17, 13:19:21, 55, 18, 1
02/05/17, 13:19:51, 55, 18, 1
02/05/17, 13:20:33, 55, 18, 1
02/05/17, 13:21:19, 55, 18, 1
02/05/17, 13:21:50, 55, 18, 1
02/05/17, 13:22:20, 55, 18, 1
02/05/17, 13:22:55, 55, 18, 1
02/05/17, 13:23:27, 55, 18, 1
02/05/17, 13:23:58, 55, 18, 1
02/05/17, 13:24:29, 55, 18, 1
02/05/17, 13:25:03, 55, 18, 1
02/05/17, 13:25:33, 55, 18, 1
02/05/17, 13:26:06, 55, 18, 1
02/05/17, 13:26:38, 55, 18, 1
02/05/17, 13:27:11, 55, 18, 1
02/05/17, 13:27:42, 55, 18, 1
02/05/17, 13:28:19, 55, 18, 1
02/05/17, 13:28:50, 55, 18, 1
02/05/17, 13:29:20, 55, 18, 1
02/05/17, 13:29:55, 55, 18, 1
02/05/17, 13:30:26, 55, 18, 1
02/05/17, 13:30:57, 55, 18, 1
02/05/17, 13:31:28, 55, 18, 1
02/05/17, 13:31:59, 55, 18, 1
02/05/17, 13:32:30, 55, 17, 1
02/05/17, 13:33:00, 55, 17, 1
02/05/17, 13:33:34, 55, 18, 1
02/05/17, 13:34:05, 55, 18, 1
02/05/17, 13:34:35, 55, 17, 1
02/05/17, 13:35:09, 55, 18, 1
02/05/17, 13:35:40, 55, 18, 1
02/05/17, 13:36:10, 55, 18, 1
02/05/17, 13:36:43, 55, 18, 1
02/05/17, 13:37:15, 55, 18, 1
02/05/17, 13:37:46, 55, 18, 1
02/05/17, 13:38:17, 55, 18, 1
02/05/17, 13:38:48, 55, 18, 1
02/05/17, 13:39:20, 55, 18, 1
02/05/17, 13:39:53, 55, 18, 1
02/05/17, 13:40:24, 55, 18, 1
02/05/17, 13:40:55, 55, 18, 1
02/05/17, 13:41:28, 55, 18, 1
02/05/17, 13:42:00, 55, 18, 1
02/05/17, 13:42:31, 55, 18, 1
02/05/17, 13:43:02, 55, 17, 1
02/05/17, 13:43:33, 55, 18, 1
02/05/17, 13:44:06, 55, 18, 1
02/05/17, 13:44:40, 55, 18, 1
02/05/17, 13:45:11, 55, 18, 1
02/05/17, 13:45:44, 55, 18, 1
02/05/17, 13:46:18, 55, 18, 1
02/05/17, 13:46:49, 55, 18, 1
02/05/17, 13:47:20, 55, 18, 1
02/05/17, 13:47:54, 55, 18, 1
02/05/17, 13:48:24, 55, 18, 1
02/05/17, 13:48:55, 55, 18, 1
02/05/17, 13:49:26, 55, 18, 1
02/05/17, 13:50:02, 55, 18, 1
02/05/17, 13:50:33, 55, 18, 1
02/05/17, 13:51:04, 55, 18, 1
02/05/17, 13:51:36, 55, 18, 1
02/05/17, 13:52:12, 55, 18, 1
02/05/17, 13:52:47, 55, 18, 1
02/05/17, 13:53:18, 55, 18, 1
02/05/17, 13:53:49, 55, 18, 1
02/05/17, 13:54:21, 55, 18, 1
02/05/17, 13:54:51, 55, 18, 1
02/05/17, 13:55:24, 55, 18, 1
02/05/17, 13:55:55, 55, 18, 1
